#自建
/d	的
sc	ㄛ
sy	ㄚ
sa	ㄝ
sn	ㄋ
sf	ㄏ
st	ㄒ
sr	啊！
sk	呵…
su	唷！
sn	嗯…
sm	嗎？
lo	囉！
hi	哈囉～^^
by	掰掰～^^
lml	～^_^～
lnl	～^_<～
lxl	～>_<～
#一碼字元
'	八
'	九
'	儿
'	几
'	尢
'	亻
'	癶
,	中
,	申
,	虫
,	亠
.	心
.	忄
.	、
/	夕
/	彳
/	丿
/	㇏
/	爫
;	水
;	氺
;	氵
;	冫
a	人
a	入
a	大
a	夫
a	金
a	亼
a	釒
b	乃
b	耳
b	阝
c	四
c	西
c	皿
c	罒
c	匚
c	覀
d	力
d	刀
d	弓
d	丑
d	𠃌
d	勹
d	彐
d	⺕
e	一
e	示
e	礻
e	衤
f	虎
f	虍
f	厂
f	广
f	疒
f	𠂇
g	穴
g	冖
g	宀
g	乛
h	廿
h	廾
h	卌
h	丱
h	业
i	工
i	五
i	王
i	卜
i	亞
i	亜
j	丁
j	亅
j	扌
k	片
k	竹
k	爿
k	⺮
l	七
l	乙
l	戊
l	戈
l	弋
l	戉
l	乚
l	辶
l	廴
m	月
m	門
m	鬥
m	冂
n	土
n	士
n	⺈
o	口
o	田
o	囗
p	戶
p	尸
p	卩
q	日
q	目
q	曰
q	曲
r	貝
s	，
s	。
s	、
s	：
s	；
s	ㄠ
s	纟
s	ㄙ
s	𠂎
s	巛
t	十
t	巾
t	丰
u	山
u	臼
u	屮
u	凵
v	羊
v	⺷
w	小
w	火
w	灬
w	⺗
x	又
x	女
x	乂
x	卍
x	卐
x	攵
x	夂
x	夊
y	木
y	未
y	末
y	耒
y	丫
z	了
z	子
z	孑
z	孓
z	豕
z	犭
z	豸
z	孒
z	㇇
#符號
..	。
...	．
...	‧
...	˙
...	●
...	○
...	∵
...	∴
...	…
...	·
s..	…
qo	○
qo	●
oq	○
oq	●
rr	（
tt	）
ff	「
gg	」
cc	『
vv	』
s,	，
s.	、
s/	？
s;	：
sj	；
si	！
se	－
se	–
se	─
sl	～
sx	※
sg	【
sg	】
sv	ˇ
sv	☑
sq	①
sq	②
sq	③
sq	④
sq	⑤
sq	⑥
sq	⑦
sq	⑧
sq	⑨
sq	⑩
sq	⑪
sq	⑫
sq	⑬
sq	⑭
sq	⑮
sq	⑯
sq	⑰
sq	⑱
sq	⑲
sq	⑳
sq	㉑
sq	㉒
sq	㉓
sq	㉔
sq	㉕
sq	㉖
sq	㉗
sq	㉘
sq	㉙
sq	㉚
sq	㉛
sq	㉜
sq	㉝
sq	㉞
sq	㉟
sq	㊱
sq	㊲
sq	㊳
sq	㊴
sq	㊵
sq	㊶
sq	㊷
sq	㊸
sq	㊹
sq	㊺
sq	㊻
sq	㊼
sq	㊽
sq	㊾
sq	㊿
sqq	Ⓐ
sqq	Ⓑ
sqq	Ⓒ
sqq	Ⓓ
sqq	Ⓔ
sqq	Ⓕ
sqq	Ⓖ
sqq	Ⓗ
sqq	Ⓘ
sqq	Ⓙ
sqq	Ⓚ
sqq	Ⓛ
sqq	Ⓜ
sqq	Ⓝ
sqq	Ⓞ
sqq	Ⓟ
sqq	Ⓠ
sqq	Ⓡ
sqq	Ⓢ
sqq	Ⓣ
sqq	Ⓤ
sqq	Ⓥ
sqq	Ⓦ
sqq	Ⓧ
sqq	Ⓨ
sqq	Ⓩ
s	！
s	？
s	–
s	～
s	「
s	」
s	『
s	』
s	【
s	】
s	（
s	）
s	〔
s	〕
s	｛
s	｝
s	〈
s	〉
s	《
s	》
s	‵
s	′
s	〝
s	〞
s	‘
s	’
s	“
s	”
s	○
s	◎
s	㊣
ss	×
ss	÷
ss	±
ss	／
ss	≠
ss	≒
ss	≦
ss	≧
ss	‧
ss	μ
ss	π
ss	θ
ss	α
ss	β
ss	γ
ss	ω
ss	ν
ss	λ
ss	ρ
ss	σ
ss	δ
ss	ε
ss	τ
ss	η
ss	φ
ss	∞
sss	℃
sss	℉
sss	￥
sss	♀
sss	♂
sss	↑
sss	↓
sss	←
sss	→
sz	ㄅ
sz	ㄆ
sz	ㄇ
sz	ㄈ
sz	ㄉ
sz	ㄊ
sz	ㄋ
sz	ㄌ
sz	ㄍ
sz	ㄎ
sz	ㄏ
sz	ㄐ
sz	ㄑ
sz	ㄒ
sz	ㄓ
sz	ㄔ
sz	ㄕ
sz	ㄖ
sz	ㄗ
sz	ㄘ
sz	ㄙ
sz	ㄧ
sz	ㄨ
sz	ㄩ
sz	ㄚ
sz	ㄛ
sz	ㄜ
sz	ㄝ
sz	ㄞ
sz	ㄟ
sz	ㄠ
sz	ㄡ
sz	ㄢ
sz	ㄣ
sz	ㄤ
sz	ㄥ
sz	ㄦ
sz	˙
sz	ˊ
sz	ˇ
sz	ˋ
dd	☆
dd	★
dd	◇
dd	◆
dd	□
dd	■
dd	☑
dd	☒
dd	△
dd	▲
dd	㊣
dd	○
dd	●
dd	▽
dd	▼
dd	￥
dd	〒
dd	◎
dd	⊕
dd	⊙
pp	┌
pp	┬
pp	┐
pp	├
pp	┼
pp	┤
pp	└
pp	┴
pp	┘
kk	│
ll	─
uuu	∪
mmm	∩
s//	／
s''	〃
sb	⿰
sb	⿱
sb	⿲
sb	⿳
sb	⿴
sb	⿵
sb	⿶
sb	⿷
sb	⿸
sb	⿹
sb	⿺
sb	⿻
#常用字
''	仇
''c	益
''d	份
''m	佾
''o	俗
''t	佩
',	伸
',	仲
','	伉
',.	億
',d	仿
',d	傍
',h	儕
',j	停
